timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676082728035,1485,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-1,,true,,2071,523,1,1,null,0,82,0
1676082728116,1485,158 /login,200,OK,Product Purchase Thread Group 1-1,text,true,,2071,523,1,1,https://api.demoblaze.com/login,1477,0,1210
1676082729604,400,Find product,200,"Number of samples in transaction : 2, number of failing samples : 0",Product Purchase Thread Group 1-1,,true,,2287,960,1,1,null,0,1,0
1676082729604,215,188 /bycat,200,OK,Product Purchase Thread Group 1-1,text,true,,1457,484,1,1,https://api.demoblaze.com/bycat,214,0,0
1676082729820,185,209 /view,200,OK,Product Purchase Thread Group 1-1,text,true,,830,476,1,1,https://api.demoblaze.com/view,184,0,0
1676082730005,252,Add product to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-1,,true,,307,581,2,2,null,0,0,0
1676082730005,252,212 /addtocart,200,OK,Product Purchase Thread Group 1-1,text,true,,307,581,2,2,https://api.demoblaze.com/addtocart,252,0,0
1676082730034,602,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-2,,true,,1990,523,2,2,null,0,0,0
1676082730034,602,158 /login,200,OK,Product Purchase Thread Group 1-2,text,true,,1990,523,2,2,https://api.demoblaze.com/login,601,0,324
1676082730257,544,View cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-1,,true,,662,522,2,2,null,0,1,0
1676082730257,544,233 /viewcart,200,OK,Product Purchase Thread Group 1-1,text,true,,662,522,2,2,https://api.demoblaze.com/viewcart,541,0,325
1676082730802,269,Checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-1,,true,,316,496,2,2,null,0,1,0
1676082730802,269,239 /deletecart,200,OK,Product Purchase Thread Group 1-1,text,true,,316,496,2,2,https://api.demoblaze.com/deletecart,269,0,0
1676082730636,445,Find product,200,"Number of samples in transaction : 2, number of failing samples : 0",Product Purchase Thread Group 1-2,,true,,2282,960,1,1,null,0,0,0
1676082730636,196,188 /bycat,200,OK,Product Purchase Thread Group 1-2,text,true,,1446,484,2,2,https://api.demoblaze.com/bycat,192,0,0
1676082730832,249,209 /view,200,OK,Product Purchase Thread Group 1-2,text,true,,836,476,1,1,https://api.demoblaze.com/view,248,0,0
1676082731082,290,Add product to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-2,,true,,307,581,1,1,null,0,1,0
1676082731082,290,212 /addtocart,200,OK,Product Purchase Thread Group 1-2,text,true,,307,581,1,1,https://api.demoblaze.com/addtocart,290,0,0
1676082731373,331,View cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-2,,true,,511,522,1,1,null,0,0,0
1676082731373,331,233 /viewcart,200,OK,Product Purchase Thread Group 1-2,text,true,,511,522,1,1,https://api.demoblaze.com/viewcart,330,0,0
1676082731705,287,Checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-2,,true,,316,496,1,1,null,0,1,0
1676082731705,287,239 /deletecart,200,OK,Product Purchase Thread Group 1-2,text,true,,316,496,1,1,https://api.demoblaze.com/deletecart,287,0,0
1676082732039,576,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-3,,true,,1937,523,1,1,null,0,2,0
1676082732041,576,158 /login,200,OK,Product Purchase Thread Group 1-3,text,true,,1937,523,1,1,https://api.demoblaze.com/login,574,0,315
1676082732618,423,Find product,200,"Number of samples in transaction : 2, number of failing samples : 0",Product Purchase Thread Group 1-3,,true,,2253,960,1,1,null,0,1,0
1676082732618,214,188 /bycat,200,OK,Product Purchase Thread Group 1-3,text,true,,1409,484,1,1,https://api.demoblaze.com/bycat,212,0,0
1676082732832,209,209 /view,200,OK,Product Purchase Thread Group 1-3,text,true,,844,476,1,1,https://api.demoblaze.com/view,209,0,0
1676082733042,261,Add product to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-3,,true,,307,581,1,1,null,0,0,0
1676082733042,261,212 /addtocart,200,OK,Product Purchase Thread Group 1-3,text,true,,307,581,1,1,https://api.demoblaze.com/addtocart,261,0,0
1676082733303,256,View cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-3,,true,,512,522,1,1,null,0,0,0
1676082733303,256,233 /viewcart,200,OK,Product Purchase Thread Group 1-3,text,true,,512,522,1,1,https://api.demoblaze.com/viewcart,256,0,0
1676082733559,284,Checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-3,,true,,316,496,1,1,null,0,0,0
1676082733559,284,239 /deletecart,200,OK,Product Purchase Thread Group 1-3,text,true,,316,496,1,1,https://api.demoblaze.com/deletecart,284,0,0
1676082734039,583,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-4,,true,,2154,523,1,1,null,0,1,0
1676082734040,583,158 /login,200,OK,Product Purchase Thread Group 1-4,text,true,,2154,523,1,1,https://api.demoblaze.com/login,581,0,318
1676082734624,426,Find product,200,"Number of samples in transaction : 2, number of failing samples : 0",Product Purchase Thread Group 1-4,,true,,2413,960,1,1,null,0,1,0
1676082734624,219,188 /bycat,200,OK,Product Purchase Thread Group 1-4,text,true,,1620,484,1,1,https://api.demoblaze.com/bycat,217,0,0
1676082734844,207,209 /view,200,OK,Product Purchase Thread Group 1-4,text,true,,793,476,1,1,https://api.demoblaze.com/view,207,0,0
1676082735051,266,Add product to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-4,,true,,307,581,1,1,null,0,1,0
1676082735052,266,212 /addtocart,200,OK,Product Purchase Thread Group 1-4,text,true,,307,581,1,1,https://api.demoblaze.com/addtocart,266,0,0
1676082735319,247,View cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-4,,true,,510,522,1,1,null,0,1,0
1676082735319,247,233 /viewcart,200,OK,Product Purchase Thread Group 1-4,text,true,,510,522,1,1,https://api.demoblaze.com/viewcart,247,0,0
1676082735567,279,Checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-4,,true,,316,496,1,1,null,0,1,0
1676082735567,279,239 /deletecart,200,OK,Product Purchase Thread Group 1-4,text,true,,316,496,1,1,https://api.demoblaze.com/deletecart,279,0,0
1676082736046,575,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Product Purchase Thread Group 1-5,,true,,2112,523,1,1,null,0,4,0
1676082736049,575,158 /login,200,OK,Product Purchase Thread Group 1-5,text,true,,2112,523,1,1,https://api.demoblaze.com/login,574,0,323
